epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1194.86,1.24637,1.14336,1.63596,0.69796,0.65235,0.56733,0.37278,1.61172,1.66837,2.05822,0.00900844,0.00900844,0.00900844
43,1223.2,1.2439,1.13571,1.63685,0.68818,0.66667,0.56226,0.37434,1.54544,1.57436,1.96736,0.00896127,0.00896127,0.00896127
44,1251.47,1.21746,1.09613,1.60442,0.68761,0.64251,0.57527,0.40343,1.48595,1.54175,1.95596,0.00891313,0.00891313,0.00891313
45,1279.78,1.23407,1.10842,1.62914,0.68357,0.67466,0.54928,0.36658,1.51609,1.57136,1.93994,0.00886404,0.00886404,0.00886404
46,1308.08,1.21548,1.08429,1.61124,0.78133,0.62729,0.64214,0.44533,1.54519,1.46751,1.98837,0.00881401,0.00881401,0.00881401
47,1336.33,1.21559,1.08182,1.61576,0.70048,0.65505,0.58747,0.40646,1.49812,1.52759,1.9184,0.00876305,0.00876305,0.00876305
48,1364.65,1.2204,1.0848,1.61338,0.74774,0.62013,0.62055,0.43339,1.49542,1.50433,1.93464,0.00871117,0.00871117,0.00871117
49,1392.89,1.19415,1.05704,1.59199,0.6992,0.66801,0.59975,0.4182,1.50208,1.51268,1.97172,0.00865839,0.00865839,0.00865839
50,1421.09,1.19873,1.07385,1.60164,0.70048,0.65817,0.56525,0.39036,1.50489,1.57101,1.96258,0.00860473,0.00860473,0.00860473
51,1449.32,1.1936,1.05252,1.59027,0.69387,0.67114,0.56755,0.40718,1.41559,1.57399,1.90727,0.00855018,0.00855018,0.00855018
52,1477.59,1.2029,1.07869,1.60011,0.69502,0.67297,0.55557,0.37442,1.49548,1.63927,1.96113,0.00849477,0.00849477,0.00849477
53,1505.85,1.21072,1.07064,1.5959,0.70421,0.65618,0.596,0.41552,1.46769,1.58591,1.89875,0.00843851,0.00843851,0.00843851
54,1534.1,1.19141,1.06395,1.5959,0.68854,0.66371,0.57036,0.405,1.39399,1.54031,1.83672,0.00838141,0.00838141,0.00838141
55,1562.34,1.17972,1.04864,1.5836,0.6941,0.65585,0.56238,0.38945,1.48855,1.60036,1.929,0.00832349,0.00832349,0.00832349
56,1590.65,1.17711,1.04774,1.57599,0.68999,0.66353,0.57338,0.39791,1.48198,1.55483,1.92534,0.00826477,0.00826477,0.00826477
57,1618.87,1.17763,1.0289,1.57373,0.71436,0.67474,0.6095,0.42466,1.48101,1.46827,1.94972,0.00820525,0.00820525,0.00820525
58,1647.14,1.17749,1.0387,1.57812,0.71053,0.66488,0.56241,0.39779,1.42727,1.5884,1.90803,0.00814495,0.00814495,0.00814495
59,1675.32,1.17024,1.03461,1.56938,0.71053,0.67433,0.56544,0.39174,1.46123,1.63027,1.93692,0.00808389,0.00808389,0.00808389
60,1703.59,1.1717,1.05065,1.56737,0.70189,0.67338,0.5691,0.40116,1.41749,1.54291,1.88013,0.00802208,0.00802208,0.00802208
61,1731.77,1.17758,1.04402,1.57542,0.70422,0.66687,0.56451,0.39942,1.41412,1.60282,1.85898,0.00795954,0.00795954,0.00795954
62,1760.02,1.15663,1.01971,1.55983,0.71062,0.66034,0.59222,0.41957,1.45501,1.52175,1.8817,0.00789628,0.00789628,0.00789628
63,1788.3,1.15096,1.01482,1.55717,0.71624,0.6613,0.58875,0.41837,1.47151,1.50909,1.93598,0.00783231,0.00783231,0.00783231
64,1816.58,1.16842,1.01971,1.5664,0.71065,0.6791,0.59526,0.42906,1.4067,1.51262,1.87447,0.00776766,0.00776766,0.00776766
65,1844.83,1.14656,1.00875,1.55492,0.72673,0.65503,0.57099,0.41012,1.41509,1.57399,1.89456,0.00770234,0.00770234,0.00770234
66,1873.19,1.14957,0.99951,1.55265,0.72049,0.65638,0.59006,0.41996,1.43388,1.5296,1.86907,0.00763637,0.00763637,0.00763637
67,1901.63,1.15184,1.002,1.55356,0.73046,0.65772,0.57085,0.40616,1.38871,1.57466,1.82566,0.00756976,0.00756976,0.00756976
68,1929.95,1.14355,1.00007,1.54429,0.72964,0.65951,0.62668,0.44995,1.43436,1.43957,1.88201,0.00750252,0.00750252,0.00750252
69,1958.19,1.13871,1.00093,1.54533,0.71448,0.65906,0.57794,0.41163,1.42241,1.52417,1.88412,0.00743468,0.00743468,0.00743468
