epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,2103.69,1.36273,1.42395,1.5339,0.55572,0.5255,0.38232,0.24385,1.81042,2.19142,2.04237,0.00179225,0.00179225,0.00179225
23,2211.16,1.36693,1.4393,1.52325,0.58073,0.51904,0.4088,0.26256,1.89564,2.18693,2.16325,0.00177281,0.00177281,0.00177281
24,2302.09,1.35148,1.38269,1.52177,0.55134,0.50291,0.34071,0.21384,1.86876,2.25482,2.16774,0.00175261,0.00175261,0.00175261
25,2393.14,1.3466,1.39588,1.51956,0.55742,0.51904,0.41798,0.2705,1.87659,2.10817,2.13383,0.00173168,0.00173168,0.00173168
26,2500.25,1.34779,1.38757,1.51461,0.5574,0.50226,0.38903,0.23856,1.85014,2.16311,2.10242,0.00171004,0.00171004,0.00171004
27,2585.96,1.31627,1.35048,1.49003,0.58167,0.52873,0.40379,0.25876,1.84541,2.06138,2.09213,0.0016877,0.0016877,0.0016877
28,2677.79,1.33075,1.38839,1.496,0.58314,0.52937,0.38069,0.24072,1.84102,2.06722,2.12639,0.0016647,0.0016647,0.0016647
29,2784.42,1.28595,1.34378,1.46486,0.5991,0.49903,0.44234,0.28766,1.90543,2.04565,2.17488,0.00164105,0.00164105,0.00164105
30,2870.1,1.30036,1.35144,1.47466,0.5543,0.52421,0.36706,0.23338,1.77855,2.09897,2.01872,0.00161678,0.00161678,0.00161678
31,2961.91,1.30741,1.35015,1.48965,0.55086,0.53712,0.37744,0.24062,1.7683,2.04811,2.06023,0.00159191,0.00159191,0.00159191
32,3068.72,1.27405,1.32298,1.47154,0.57409,0.49645,0.43285,0.28008,1.9668,2.1413,2.22474,0.00156646,0.00156646,0.00156646
33,3159.25,1.26897,1.3208,1.46849,0.57815,0.5481,0.39869,0.25665,1.82203,2.05594,2.10064,0.00154047,0.00154047,0.00154047
34,3250.29,1.26283,1.28346,1.46144,0.66144,0.46223,0.44798,0.29203,1.91558,2.20354,2.2032,0.00151395,0.00151395,0.00151395
35,3361.09,1.27756,1.3323,1.46989,0.58262,0.53454,0.39116,0.24588,1.80285,2.02267,2.06736,0.00148694,0.00148694,0.00148694
36,3453.85,1.26964,1.29736,1.46046,0.58202,0.54293,0.3906,0.24767,1.80193,2.07759,2.09278,0.00145945,0.00145945,0.00145945
37,3544.45,1.26099,1.32152,1.45709,0.58734,0.53583,0.40708,0.26764,1.82874,2.0527,2.13327,0.00143152,0.00143152,0.00143152
38,3651.22,1.2256,1.25237,1.43401,0.58302,0.5397,0.38476,0.24248,1.86655,2.07477,2.13765,0.00140318,0.00140318,0.00140318
39,3736.48,1.2377,1.28562,1.43831,0.58457,0.53454,0.37638,0.23939,1.84902,2.16512,2.11517,0.00137444,0.00137444,0.00137444
40,3828.06,1.23706,1.25221,1.43646,0.58744,0.52948,0.37429,0.24357,1.76665,2.11466,2.05238,0.00134535,0.00134535,0.00134535
41,3934.62,1.20873,1.25092,1.42529,0.58851,0.55391,0.39244,0.24939,1.76629,2.11269,2.01642,0.00131593,0.00131593,0.00131593
42,4020.16,1.247,1.27504,1.4432,0.63437,0.49128,0.4567,0.30082,1.85253,2.12567,2.09749,0.0012862,0.0012862,0.0012862
43,4106.17,1.20722,1.23962,1.41264,0.59291,0.56698,0.41751,0.2639,1.80279,2.04427,2.03756,0.0012562,0.0012562,0.0012562
44,4213.67,1.20108,1.25149,1.42199,0.57699,0.54616,0.381,0.24188,1.75946,2.11741,2.0638,0.00122596,0.00122596,0.00122596
45,4300.63,1.2091,1.25001,1.42084,0.59382,0.53712,0.41629,0.26839,1.7802,1.98065,2.0462,0.00119551,0.00119551,0.00119551
46,4388.26,1.18792,1.22622,1.40057,0.5828,0.54922,0.39027,0.24697,1.77445,2.0704,2.03613,0.00116487,0.00116487,0.00116487
47,4495.27,1.18849,1.22689,1.41085,0.57274,0.55778,0.41427,0.26848,1.74465,1.97607,2.00627,0.00113408,0.00113408,0.00113408
48,4586.03,1.18776,1.23492,1.39873,0.62656,0.5255,0.46502,0.30011,1.8086,1.95461,2.0925,0.00110317,0.00110317,0.00110317
49,4679.11,1.15938,1.19554,1.38651,0.63664,0.4958,0.47603,0.31078,1.8284,2.0025,2.0976,0.00107216,0.00107216,0.00107216
50,4782.33,1.16832,1.19842,1.39667,0.60627,0.53481,0.40986,0.26772,1.8045,2.09165,2.06296,0.0010411,0.0010411,0.0010411
51,4867.02,1.16359,1.16859,1.38905,0.60657,0.52752,0.42433,0.27809,1.77745,2.01426,2.06859,0.00101,0.00101,0.00101
52,4953.64,1.15555,1.16478,1.37313,0.63289,0.50742,0.48549,0.32406,1.8329,2.07238,2.12917,0.000978903,0.000978903,0.000978903
53,5059.66,1.13935,1.16517,1.36773,0.60789,0.53712,0.46277,0.309,1.75344,1.96316,2.01763,0.000947837,0.000947837,0.000947837
54,5144.7,1.14066,1.15509,1.37353,0.60196,0.54551,0.40559,0.26278,1.74441,2.0555,1.99117,0.000916833,0.000916833,0.000916833
55,5231.12,1.14682,1.17371,1.37933,0.59184,0.56447,0.44228,0.28954,1.73644,1.96821,1.99594,0.00088592,0.00088592,0.00088592
56,5334.72,1.1372,1.17037,1.37137,0.61087,0.53712,0.47362,0.31557,1.80299,1.96954,2.07372,0.00085513,0.00085513,0.00085513
57,5419.63,1.1222,1.15684,1.35328,0.60975,0.55261,0.46574,0.31188,1.7495,1.96824,2.03572,0.000824492,0.000824492,0.000824492
58,5505.95,1.11431,1.12313,1.35488,0.60746,0.54487,0.48837,0.32417,1.79376,2.00811,2.0592,0.000794038,0.000794038,0.000794038
59,5609.15,1.11643,1.15499,1.35367,0.60999,0.5255,0.44508,0.29181,1.74935,1.9652,2.02253,0.000763797,0.000763797,0.000763797
60,5699.31,1.13674,1.14806,1.36519,0.59014,0.56423,0.43892,0.28871,1.73656,2.00692,2.00391,0.000733799,0.000733799,0.000733799
61,5789.93,1.10778,1.12924,1.34901,0.60046,0.53841,0.48099,0.32124,1.81286,1.97692,2.08128,0.000704073,0.000704073,0.000704073
62,5892.48,1.12438,1.14994,1.35919,0.57945,0.56306,0.39657,0.25878,1.73505,2.1081,2.01881,0.000674649,0.000674649,0.000674649
63,5982.75,1.11408,1.13814,1.35554,0.60177,0.55391,0.45952,0.307,1.76845,2.00505,2.00245,0.000645557,0.000645557,0.000645557
64,6073.49,1.11173,1.14124,1.34747,0.62636,0.5326,0.48731,0.32781,1.79332,1.99133,2.05945,0.000616824,0.000616824,0.000616824
65,6180.39,1.07769,1.08885,1.31911,0.61856,0.54035,0.46903,0.31366,1.74553,1.97106,2.03532,0.000588479,0.000588479,0.000588479
66,6265.68,1.10489,1.14369,1.35589,0.58545,0.56682,0.44227,0.28824,1.739,2.02474,2.01543,0.000560549,0.000560549,0.000560549
67,6357.02,1.07587,1.1074,1.32917,0.61814,0.54865,0.479,0.31817,1.76616,1.96076,2.03372,0.000533064,0.000533064,0.000533064
68,6471.06,1.11189,1.1436,1.35173,0.59235,0.54126,0.45222,0.29346,1.80472,2.04466,2.05989,0.000506049,0.000506049,0.000506049
69,6561.04,1.07429,1.0904,1.329,0.62378,0.53519,0.48393,0.32082,1.81303,2.0173,2.11424,0.000479531,0.000479531,0.000479531
70,6647.05,1.06513,1.08809,1.31513,0.60324,0.56036,0.47568,0.31179,1.74896,1.97534,2.00261,0.000453537,0.000453537,0.000453537
71,6754.97,1.04837,1.09199,1.3135,0.62426,0.5481,0.48856,0.32422,1.75882,1.96307,2.03503,0.000428093,0.000428093,0.000428093
72,6854.3,1.07568,1.0977,1.32302,0.62309,0.53789,0.47482,0.31368,1.76459,1.98206,2.03574,0.000403222,0.000403222,0.000403222
73,6944.91,1.05521,1.0719,1.31178,0.59661,0.56237,0.433,0.28563,1.72687,2.01857,2.00293,0.00037895,0.00037895,0.00037895
74,7047.65,1.07496,1.09493,1.32736,0.61202,0.53777,0.4717,0.31515,1.75155,1.98201,2.02828,0.000355301,0.000355301,0.000355301
75,7138.78,1.05102,1.07917,1.31846,0.6169,0.54164,0.49411,0.33148,1.76285,1.92457,2.04198,0.000332298,0.000332298,0.000332298
76,7230.56,1.03842,1.04914,1.31339,0.60057,0.54939,0.44657,0.29532,1.7513,2.02324,2.04057,0.000309964,0.000309964,0.000309964
77,7338.51,1.05643,1.05956,1.31839,0.59614,0.54616,0.46281,0.30684,1.76672,2.02302,2.04054,0.000288321,0.000288321,0.000288321
78,7425.06,1.04586,1.06062,1.30716,0.58511,0.55719,0.45484,0.30062,1.74944,1.98698,2.03115,0.00026739,0.00026739,0.00026739
79,7517.83,1.01961,1.04016,1.29669,0.59793,0.55391,0.48163,0.32253,1.74432,1.96025,2.04036,0.000247192,0.000247192,0.000247192
80,7625.8,1.01893,1.01265,1.29269,0.58859,0.54874,0.48031,0.32203,1.75957,1.97224,2.03904,0.000227747,0.000227747,0.000227747
81,7712.44,1.0344,1.05675,1.30419,0.58396,0.53066,0.46365,0.30661,1.74212,1.94891,2.02279,0.000209073,0.000209073,0.000209073
82,7805.05,1.01985,1.0182,1.28715,0.57217,0.55342,0.44813,0.29444,1.7591,2.01918,2.03663,0.00019119,0.00019119,0.00019119
83,7910.03,1.00788,1.01837,1.28591,0.5834,0.55132,0.45826,0.30505,1.7617,2.02493,2.04502,0.000174115,0.000174115,0.000174115
84,8000.87,1.02374,1.04749,1.29746,0.58896,0.5468,0.46631,0.3116,1.75655,1.9767,2.03299,0.000157865,0.000157865,0.000157865
85,8093.4,1.03646,1.03996,1.3083,0.5999,0.55391,0.47988,0.32213,1.75693,1.9534,2.02312,0.000142456,0.000142456,0.000142456
86,8201.46,1.00226,1.00711,1.29042,0.60725,0.55003,0.48368,0.32314,1.75884,1.941,2.02401,0.000127904,0.000127904,0.000127904
87,8295.21,1.03157,1.04399,1.29992,0.59261,0.5503,0.47238,0.31143,1.75706,1.96105,2.03693,0.000114221,0.000114221,0.000114221
88,8381.84,1.03094,1.04573,1.30585,0.59626,0.55584,0.46674,0.31097,1.74583,1.96395,2.02375,0.000101423,0.000101423,0.000101423
89,8491.04,1.02281,1.03275,1.29235,0.604,0.55584,0.4792,0.31857,1.74803,1.9378,2.02425,8.95213e-05,8.95213e-05,8.95213e-05
90,8576.91,1.01082,1.04131,1.29426,0.59756,0.54874,0.47009,0.31213,1.74012,1.96174,2.015,7.8528e-05,7.8528e-05,7.8528e-05
91,8683.47,0.96647,0.99383,1.29209,0.62278,0.53196,0.48327,0.32459,1.72499,1.91623,1.99507,6.8454e-05,6.8454e-05,6.8454e-05
92,8770.47,0.95383,0.96133,1.28484,0.62751,0.52964,0.47872,0.3236,1.71551,1.92134,1.98426,5.93093e-05,5.93093e-05,5.93093e-05
93,8858.22,0.94127,0.93843,1.26921,0.60396,0.54358,0.47827,0.32334,1.71952,1.922,1.98582,5.11027e-05,5.11027e-05,5.11027e-05
94,8961.42,0.94851,0.9502,1.27437,0.60017,0.54745,0.48386,0.32591,1.72744,1.9245,1.99015,4.38424e-05,4.38424e-05,4.38424e-05
95,9046.26,0.94861,0.95525,1.27631,0.59562,0.55068,0.48004,0.32455,1.72598,1.9327,1.99095,3.75356e-05,3.75356e-05,3.75356e-05
96,9132.7,0.93501,0.93209,1.26077,0.5978,0.55132,0.48215,0.32663,1.7251,1.93621,1.99517,3.21885e-05,3.21885e-05,3.21885e-05
97,9240.2,0.92158,0.93008,1.264,0.60325,0.54745,0.48506,0.32791,1.73142,1.93735,2.00046,2.78064e-05,2.78064e-05,2.78064e-05
98,9338.39,0.94003,0.92589,1.27232,0.60097,0.5468,0.48202,0.32596,1.73468,1.94712,2.00631,2.43937e-05,2.43937e-05,2.43937e-05
99,9426.71,0.93005,0.93223,1.265,0.59614,0.54939,0.484,0.32662,1.73083,1.94125,2.00154,2.19535e-05,2.19535e-05,2.19535e-05
100,9534.29,0.93195,0.91188,1.26913,0.59052,0.54939,0.48613,0.32802,1.73267,1.94497,2.00344,2.04885e-05,2.04885e-05,2.04885e-05
