epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9249,1.48438,1.99594,1.62723,0.42434,0.39164,0.25278,0.13067,2.18045,3.52558,2.39582,0.000661765,0.000661765,0.000661765
2,193.502,1.74192,1.91758,1.802,0.25111,0.22724,0.12985,0.05797,2.60636,3.0997,2.75325,0.00132811,0.00132811,0.00132811
3,286.206,1.79753,1.94267,1.85237,0.31061,0.26985,0.19239,0.08885,2.66767,2.98981,2.85232,0.00199315,0.00199315,0.00199315
4,377.426,1.76883,1.88957,1.83593,0.43037,0.25759,0.22822,0.10992,2.58835,3.26195,3.01861,0.00199561,0.00199561,0.00199561
5,487.795,1.7408,1.87106,1.79598,0.51331,0.36798,0.31234,0.16682,2.38136,2.7081,2.64865,0.00199219,0.00199219,0.00199219
6,580.925,1.65782,1.77918,1.75599,0.49557,0.38799,0.31234,0.18833,2.04459,2.57727,2.22296,0.00198781,0.00198781,0.00198781
7,672.965,1.60433,1.70136,1.70503,0.48807,0.34087,0.28807,0.1371,2.58085,3.40047,2.89297,0.00198246,0.00198246,0.00198246
8,782.308,1.60975,1.73502,1.7094,0.5043,0.47644,0.32724,0.19421,2.0496,2.30077,2.27056,0.00197616,0.00197616,0.00197616
9,874.309,1.57695,1.67107,1.69938,0.54093,0.46173,0.36561,0.22101,2.10934,2.53071,2.37295,0.0019689,0.0019689,0.0019689
10,961.538,1.52406,1.6172,1.66124,0.50206,0.47192,0.33319,0.19588,2.05468,2.33669,2.32078,0.00196069,0.00196069,0.00196069
11,1069.5,1.52125,1.61911,1.67132,0.5059,0.48418,0.34284,0.20532,2.09574,2.36505,2.36798,0.00195155,0.00195155,0.00195155
12,1159.93,1.47202,1.52133,1.61199,0.54319,0.40865,0.35853,0.22053,2.1385,2.59279,2.55299,0.00194147,0.00194147,0.00194147
13,1250.98,1.49688,1.58266,1.64048,0.53226,0.44519,0.33752,0.20399,2.00989,2.40685,2.23811,0.00193048,0.00193048,0.00193048
14,1356.93,1.46403,1.53394,1.60796,0.55155,0.47579,0.37983,0.22805,1.98416,2.33002,2.22776,0.00191858,0.00191858,0.00191858
15,1443.01,1.44902,1.51383,1.60057,0.49269,0.45456,0.30005,0.1663,1.99869,2.47091,2.2254,0.00190578,0.00190578,0.00190578
16,1534.97,1.43924,1.51663,1.60212,0.53797,0.43673,0.36396,0.22586,2.03073,2.4219,2.40991,0.0018921,0.0018921,0.0018921
17,1641.99,1.40354,1.46678,1.56863,0.52535,0.50097,0.35143,0.20641,1.95997,2.27831,2.1824,0.00187754,0.00187754,0.00187754
18,1732.56,1.40124,1.49345,1.563,0.55341,0.50613,0.36985,0.23615,1.84857,2.17098,2.11876,0.00186213,0.00186213,0.00186213
19,1818.78,1.39622,1.44798,1.55841,0.5391,0.51388,0.38652,0.2397,1.91182,2.2515,2.14553,0.00184588,0.00184588,0.00184588
20,1926.8,1.36187,1.41436,1.52405,0.55455,0.46675,0.37852,0.24952,1.86317,2.34716,2.1764,0.00182881,0.00182881,0.00182881
21,2017.52,1.35759,1.4205,1.5369,0.56815,0.50355,0.38162,0.25,1.87483,2.1877,2.1556,0.00181093,0.00181093,0.00181093
